; LGEO Elements List
;
; For use with Lars C. Hassings L3P version x.xx and up
;
; Ldraw	LGEO	LG_Flags (L=LGEO, S=Slope, A=AntonRaves)
2358p03	2358p03	L
2358p04	2358p04	L
2359	2359	L
2359p01	2359p01	L
2360	2360	L
2360p01	2360p01	L
2360p02	2360p02	L
2361	2361	L
2361p01	2361p01	L
2362	2362	L
2362a	2362a	L
2362b	2362b	L
2375	2375	L
2376	2376	L
2377	2377	L
2397	2397	L
2399	2399	L
2401	2401	L
2408	2408	L
2412	2412	L
2412a	2412a	L
2412b	2412b	L
2413	2413	L
2415	2415	L
2417	2417	L
2419	2419	L
2420	2420	L
2421	2421	L
2423	2423	L
2429	2429	L
2429c01	2429c01	L
2430	2430	L
2431	2431	L
2431b	2431b	L
2431bp52	2431bp52	L
2431bp79	2431bp79	L
2431p02	2431p02	L
2431p12	2431p12	L
2431p51	2431p51	L
2431p52	2431p52	L
2431p78	2431p78	L
2431p79	2431p79	L
2432	2432	L
2433	2433	L
2434	2434	L
2436	2436	L
2437	2437	L
2441	2441	L
2444	2444	L
2445	2445	L
2446	2446	A
2448	2448	L
2449	2449	LS
2450	2450	L
2452	2452	L
2453	2453	L
2454	2454	L
2455	2455	L
2456	2456	L
2458	2458	L
2460	2460	L
2462	2462	L
2465	2465	L
2466	2466	L
2466p07	2466p07	L
2467	2467	L
2468	2468	L
2470	2470	L
2476	2476	L
2476a	2476a	L
2476b	2476b	L
2479	2479	L
2486	2486	L
2493	2493	L
2494	2494	L
2494p01	2494p01	L
2496	2496	L
2507	2507	L
2508	2508	L
2513	2513	L
2516	2516	L
2529	2529	L
2539	2539	L
2540	2540	L
2555	2555	L
2569	2569	L
2571	2571	L
2572	2752	L
2577	2577	L
2579	2579	L
2580	2580	L
2580c01	2580c01	L
2582	2582	LS
2583	2583	L
2609	2609	L
2617	2617	LS
2620	2620	L
2625	2625	L
2626	2626	L
2637	2637	L
2639	2639	L
2642	2642	LS
2653	2653	L
2654	2654	L
2655	2655	L
2680	2680	L
2681	2681	L
2694	2694	L
2695	2695	L
2696	2696	LS
2711	2711	L
2712	2712	L
2719	2719	L
2723	2723	L
2730	2730	L
2736	2736	L
2743	2743	L
2744	2744	L
2748	2748	L
2817	2817	L
2819	2819	L
2825	2825	L
2855	2855	L
2856	2856	L
2872	2872	L
2873	2873	L
2875	2875	LS
2876	2876	LS
2877	2877	L
2878	2878	L
2878c01	2878c01	L
2879	2879	L
2879c01	2879c01	L
2880	2880	L
2905	2905	L
2920	2920	L
2921	2921	L
2923	2923	L
2926	2926	L
2927	2927	L
2958	2958	L
3001	3001	LA
3002	3002	L
3003	3003	L
3004	3004	L
3004p05	3004p05	L
3004p06	3004p06	L
3004p12	3004p12	L
3005	3005	L
3006	3006	L
3007	3007	L
3008	3008	L
3009	3009	L
3010	3010	L
3010p04	3010p04	L
3010p05	3010p05	L
3020	3020	LA
3021	3021	L
3022	3022	L
3023	3023	L
3024	3024	L
3026	3026	L
3027	3027	L
3028	3028	L
3029	3029	L
3030	3030	L
3031	3031	L
3032	3032	L
3033	3033	L
3034	3034	L
3035	3035	L
3036	3036	L
3037	3037	LS
3038	3038	LS
3039	3039	LS
3039p05	3039p05	LS
3039p10	3039p10	LS
3040	3040	LS
3040a	3040a	LS
3040b	3040b	LS
3040p32	3040p32	LS
3040p33	3040p33	LS
3041	3041	LS
3042	3042	LS
3043	3043	LS
3044	3044	LS
3044a	3044a	LS
3044b	3044b	LS
3044p37	3044p37	LS
3045	3045	LS
3046	3046	LS
3048	3048	LS
3049	3049	LS
3049a	3049a	LS
3049b	3049b	LS
3049c	3049c	LS
3058	3058	L
3058b	3058b	L
3062	3062	L
3062-old	3062_old	L
3062a	3062a	L
3062b	3062b	L
3063	3063	L
3065	3065	L
3066	3066	L
3067	3067	L
3068	3068	L
3068a	3068a	L
3068b	3068b	L
3069	3069	L
3069a	3069a	L
3069b	3069b	L
3070	3070	L
3070a	3070a	L
3070b	3070b	L
3109	3109	L
3110	3110	L
3111	3111	L
3112	3112	L
3134	3134	L
3137	3137	L
3137a	3137a	L
3137b	3137b	L
3137c01	3137c01	L
3137c02	3137c02	L
3139	3139	L
3144	3144	L
3145	3145	L
3149	3149	L
3149a	3149a	L
3149b	3149b	L
3149c	3149c	L
3149c01	3149c01	L
3149c02	3149c02	L
3149d	3149d	L
3149dc01	3149dc01	L
3149e	3149e	L
3149ec01	3149ec01	L
3176	3176	L
3183	3183	L
3184	3184	L
3185	3185	L
3186	3186	L
3187	3187	L
3188	3188	L
3189	3189	L
3192	3192	L
3193	3193	L
3194	3194	L
3195	3195	L
3245a	3245a	L
3245b	3245b	L
3297	3297	LS
3297p01	3297p01	LS
3297p02	3297p02	LS
3297p03	3297p03	LS
3298	3298	LS
3298p17	3298p17	LS
3298p18	3298p18	LS
3298p20	3298p20	LS
3299	3299	LS
3300	3300	LS
3307	3307	L
3308	3308	L
3315	3315	L
3317	3317	L
3324	3324	L
3324a	3324a	L
3324c01	3324c01	L
3324d	3324d	L
3324dc01	3324dc01	L
3324e	3324e	L
3324ec01	3324ec01	L
3326	3326	L
3334	3334	L
3350	3350	L
3351	3351	L
3351p01	3351p01	L
3351p02	3351p02	L
3358	3358	L
3359	3359	L
3403	3403	L
3403c01	3403c01	L
3404	3404	L
3455	3455	L
3456	3456	L
3460	3460	L
3461	3461	L
3462	3462	L
3463	3463	L
3464	3464	L
3474	3474	L
3475	3475	L
3475a	3475a	L
3475b	3475b	L
3479	3479	L
3481	3481	L
3482	3482	L
3483	3483	L
3497	3497	L
3579	3579	L
3581	3581	L
3582	3582	L
3585	3585	L
3586	3586	L
3596	3596	L
3597	3597	L
3622	3622	L
3623	3623	L
3624	3624	A
3626	3626	L
3626a	3626a	L
3626b	3626b	L
3626ap01	3626ap01	L
3626bp01	3626bp01	L
3633	3633	L
3634	3634	L
3639	3639	L
3640	3640	L
